N00009975,Lindsey_Graham
N00010084,Tim_Johnson
N00012233,Robert_E_Latta
N00012460,William_L_Clay_Jr
N00012508,Tom_Carper
N00012539,Mark_Kirk
N00012546,Luke_Messer
N00012611,Mike_Honda
N00012672,Steve_Pearce
N00012739,Ander_Crenshaw
N00012942,Betty_McCollum
N00013131,Eric_Cantor
N00013323,Sam_Graves
N00013345,Steve_Israel
N00013770,Bill_Shuster
N00013799,Randy_Forbes
N00013817,Chellie_Pingree
N00013820,Chris_Van_Hollen
N00013823,Mark_Pryor
N00013846,Jeff_Miller
N00013855,Stephen_F_Lynch
N00013873,John_Boozman
N00021207,Rick_Nolan
N00024753,Mike_Coffman
N00024759,Mike_D_Rogers
N00024760,Phil_Gingrey
N00024770,Mike_Michaud
N00024790,Jeanne_Shaheen
N00024809,Joe_Wilson
N00024842,Joe_Courtney
N00024852,John_Cornyn
N00024866,Madeleine_Z_Bordallo
N00024870,Linda_Sanchez
N00024871,David_Scott
N00024922,Jeb_Hensarling
N00024978,Henry_Cuellar
N00024992,Tim_Murphy
N00025025,Jim_Gerlach
N00025095,John_Carter
N00025175,Michael_R_Turner
N00025219,Michael_Burgess
N00025237,Steven_A_King
N00025280,Tim_Ryan
N00025284,Raul_M_Grijalva
N00025292,Rob_Bishop
N00025330,Jo_Bonner
N00025337,Mario_Diaz-Balart
N00025413,Timothy_H_Bishop
N00025445,David_Kustoff
N00025464,Rodney_Alexander
N00025482,Dutch_Ruppersberger
N00025495,Lou_Barletta
N00025726,Tom_Cole
N00025881,Colleen_Hanabusa
N00026041,Mike_Conaway
N00026043,Randy_Neugebauer
N00026050,Lisa_Murkowski
N00026080,John_Barrow
N00026106,Debbie_Wasserman_Schultz
N00026148,Louis_B_Gohmert_Jr
N00026160,Tom_Price
N00026163,Lynn_A_Westmoreland
N00026166,Virginia_Foxx
N00026171,Charlie_Dent
N00026314,Cathy_McMorris_Rodgers
N00026335,Daniel_Webster
N00026341,Jim_Costa
N00026368,Tim_Walberg
N00026427,Ro_Khanna
N00026457,Ted_Poe
N00026460,Michael_McCaul
N00026586,Joe_Donnelly
N00026595,Charles_W_Boustany_Jr
N00026627,Patrick_McHenry
